episode_index,episode_seed,arm,controller,current,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,first_track_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,mean_squared_action,maximum_combined_decision_runtime_s,requested_delivered_action_rms,action_count,noise_tape_sha256,current_tape_sha256,post_track_action_count,post_track_saturation_fraction,post_track_speed_saturation_fraction,post_track_yaw_saturation_fraction,post_track_pitch_saturation_fraction,post_track_action_total_variation,post_track_action_curvature_rms
9,51009,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.7924941499749514,0.7197073300965191,True,64.00000000000064,0,0,0,0,0.39167990290342014,0.575855875009438,0.1954979442530041,220,b8ff29fc2e858b5652c0e8ec65cabf077b81939c55e202b9b5c321ffb8402430,b1737057fbd651df9760eeb538f5d61ff24693a1f2a1e7c84846188a887f1625,188,0.0425531914893617,0.031914893617021274,0.015957446808510637,0.0,0.14168971781074888,0.23165869265812095
9,51009,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.34,0.4771355932704878,8.70485047152762,True,93.99999999999893,0,0,0,0,2.03731231585213,0.574574666999979,0.4484037584400645,220,b8ff29fc2e858b5652c0e8ec65cabf077b81939c55e202b9b5c321ffb8402430,b1737057fbd651df9760eeb538f5d61ff24693a1f2a1e7c84846188a887f1625,173,0.9653179190751445,0.5202312138728323,0.6184971098265896,0.6416184971098265,0.720944146748722,0.678185400169532
9,51009,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.49606005310487344,0.816521796781114,True,93.99999999999893,0,0,0,0,0.4288983372030151,0.5770574589987518,0.18236046565916852,220,b8ff29fc2e858b5652c0e8ec65cabf077b81939c55e202b9b5c321ffb8402430,b1737057fbd651df9760eeb538f5d61ff24693a1f2a1e7c84846188a887f1625,173,0.023121387283236993,0.017341040462427744,0.017341040462427744,0.0,0.14426725647725433,0.2215816866657934
10,51010,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,True,False,False,0.14,0.7621928490020554,4.348297429166521,True,123.99999999999723,0,0,0,0,2.1507276558220942,0.5876374159997795,0.49398869946815516,220,e410295667e572eb63f71eb6522adf547e36b578977aa9e74a7a56b02b1210c3,f399475521aab72b1db96ce1c453c0b81eb3e3f7772d63e96680de84f4d7cb89,158,0.9746835443037974,0.620253164556962,0.6329113924050633,0.6645569620253164,0.7605942972574234,0.7215790927354901
10,51010,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.8948106079807019,0.8825264427139559,True,123.99999999999723,0,0,0,0,0.6051625412882721,0.6133207090024371,0.2786174630595368,220,e410295667e572eb63f71eb6522adf547e36b578977aa9e74a7a56b02b1210c3,f399475521aab72b1db96ce1c453c0b81eb3e3f7772d63e96680de84f4d7cb89,158,0.05063291139240506,0.04430379746835443,0.0,0.006329113924050633,0.14317164875331928,0.22628145220755835
10,51010,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.0,0.70396359495611,28.562429405543078,True,183.99999999999383,0,0,0,0,2.1289049406500924,0.59476624999661,0.49853569014366095,220,e410295667e572eb63f71eb6522adf547e36b578977aa9e74a7a56b02b1210c3,f399475521aab72b1db96ce1c453c0b81eb3e3f7772d63e96680de84f4d7cb89,128,0.90625,0.6171875,0.6484375,0.5625,0.7373408084313149,0.7917166130957266
10,51010,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,False,False,False,0.0,0.7568394575397336,15.729143750512554,True,183.99999999999383,0,0,0,0,0.8859081362141003,0.5724301669979468,0.3139612247940511,220,e410295667e572eb63f71eb6522adf547e36b578977aa9e74a7a56b02b1210c3,f399475521aab72b1db96ce1c453c0b81eb3e3f7772d63e96680de84f4d7cb89,128,0.0078125,0.0078125,0.0,0.0,0.13517114439834899,0.223725787338917
11,51011,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,False,False,False,0.12,0.2494070868366129,9.201685675473687,True,64.00000000000064,0,0,0,0,2.2774498175585864,0.587364749997505,0.48112749105863656,220,23d7a66401cb3dee43d12debfe5c12abcf4c1685317546cf6d4b98ea743e87a1,07bbe9d78627ffd58864d260f541650086d483607e38bac99a5a47385ba30dc2,188,0.9787234042553191,0.723404255319149,0.6329787234042553,0.6223404255319149,0.6987175166062842,0.74938123524062
11,51011,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.17700756801628661,0.12089120153114967,True,64.00000000000064,0,0,0,0,0.4387355037205009,0.7027047090086853,0.19974405579115978,220,23d7a66401cb3dee43d12debfe5c12abcf4c1685317546cf6d4b98ea743e87a1,07bbe9d78627ffd58864d260f541650086d483607e38bac99a5a47385ba30dc2,188,0.05319148936170213,0.026595744680851064,0.031914893617021274,0.015957446808510637,0.14555586066185802,0.22759619693148367
11,51011,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.24,0.2928025919038025,12.62901763883499,True,64.00000000000064,0,0,0,0,2.3415898312940384,0.7522515829914482,0.48654408650026354,220,23d7a66401cb3dee43d12debfe5c12abcf4c1685317546cf6d4b98ea743e87a1,07bbe9d78627ffd58864d260f541650086d483607e38bac99a5a47385ba30dc2,188,0.9627659574468085,0.7446808510638298,0.6382978723404256,0.7021276595744681,0.7015192029223819,0.762575204143631
