episode_index,episode_seed,source_name,policy_name,arm,source_mask_l1,source_mask_l2,active_source_count,measurement_row_count,active_scalar_measurement_count,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,checkpoint_60s_localization_error_m,checkpoint_60s_localization_below_7m,checkpoint_60s_phase_track,checkpoint_60s_gate_locked_after_update,ever_locked,first_track_action_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,false_confidence_action_count,maximum_localization_error_m,maximum_track_localization_error_m,mean_squared_action,maximum_combined_decision_runtime_s,planner_decision_count,noise_tape_sha256,masked_history_sha256
5,48605,leader1_only,belief_active,leader1_only__belief_active,True,False,1,440,440,True,True,True,1.0,1.1165845372066883,1.0950803682906383,2.239064309999851,True,False,False,True,93.99999999999893,0,0,0,0,0,89.89898440972779,1.294738121350942,0.2717022111556326,0.3476162919541821,32,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,9dace2830fb1b0da04134e5f050672cf5cc302ece28feb005a6363d20606c8e9
5,48605,leader2_only,fixed_s_turn,leader2_only__fixed_s_turn,False,True,1,440,440,False,False,False,0.0,3.7633673408018913,194.87775424453028,19.818339304246507,False,False,False,False,,0,0,0,0,0,34.385522738285374,,0.40521372036442305,0.29944091592915356,0,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,7b84251c26464168b02718c51cf96b42bb5c91afd7d0e0c3df9c8a581f249495
5,48605,leader2_only,belief_active,leader2_only__belief_active,False,True,1,440,440,True,True,True,1.0,1.422277698271125,1.5103095111364444,2.6736420544175887,True,False,False,True,93.99999999999893,0,0,0,0,0,39.37224314964366,1.4924484105631073,0.33858187702162346,0.4477307500783354,32,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,c96ffa053676af3289d0fb5a212a0210651ea5d2d9736364d2187ce388b0b8ff
5,48605,both_leaders,fixed_s_turn,both_leaders__fixed_s_turn,True,True,2,440,880,False,False,False,0.0,0.7841458250223323,194.87775424453028,2.7318058942768575,True,False,False,False,,0,0,0,0,0,3.205914962789247,,0.40521372036442305,0.8225112500367686,0,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,14eab0ea12ba6258b35fe14263578c3c845aaeb1a7da910223437956d75344f6
5,48605,both_leaders,belief_active,both_leaders__belief_active,True,True,2,440,880,True,True,True,1.0,0.5273145561017643,0.56751688437903,0.8698094263999946,True,False,False,True,64.00000000000064,0,0,0,0,0,2.92699115490645,0.7681698191003251,0.24299714519788593,0.5861273329937831,17,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,faccd4f6feee39ce4fddc750c00896276587bb89c2b306d37c1a82841ea20ff2
6,48606,leader1_only,fixed_s_turn,leader1_only__fixed_s_turn,True,False,1,440,440,False,False,False,0.0,2.3146519209702427,225.69154141880037,5.858993640231063,True,False,False,False,,0,0,0,0,0,33.737320832071184,,0.47390035583970397,0.4861524159787223,0,396790828256e3958313475c1616fc0957b737614282ceb7df096a5e80e9fb3c,805dc3339e94ea2a96c0fdcbc980412ccef372817f773401293c1d79cb01e7b4
6,48606,leader1_only,belief_active,leader1_only__belief_active,True,False,1,440,440,True,True,True,1.0,0.5424788320026758,0.4462217446063559,2.3246733355561386,True,False,False,True,93.99999999999893,0,0,0,0,0,33.737320832071184,0.6300653506594394,0.3678573838327245,0.7115124999545515,32,396790828256e3958313475c1616fc0957b737614282ceb7df096a5e80e9fb3c,b9d108224f3d5ab5b832ba0d386e659b40c6d8c6ad0279d0af58edd40789150a
6,48606,leader2_only,fixed_s_turn,leader2_only__fixed_s_turn,False,True,1,440,440,False,False,False,0.0,3.4203876310939405,225.69154141880037,49.09237326566894,False,False,False,False,,0,0,0,0,0,109.16326914611209,,0.47390035583970397,0.48410266696009785,0,396790828256e3958313475c1616fc0957b737614282ceb7df096a5e80e9fb3c,6910a8a1c319902b40e90ae32fdd70b1be0517ee141dee55927e70aa4b12b97f
6,48606,leader2_only,belief_active,leader2_only__belief_active,False,True,1,440,440,True,True,True,1.0,0.9205457179812929,1.0226965681497346,3.445735194154654,True,False,False,True,123.99999999999723,0,0,0,0,0,74.1643250366034,1.1302412957559351,0.3572645986665817,0.6048214579932392,47,396790828256e3958313475c1616fc0957b737614282ceb7df096a5e80e9fb3c,ad3092f9944bd61d99b45edf924b43db1f61b9d33a4852e5c5e518c984989b11
6,48606,both_leaders,fixed_s_turn,both_leaders__fixed_s_turn,True,True,2,440,880,False,False,False,0.0,1.6272318164831452,225.69154141880037,3.13490732284504,True,False,False,False,,0,0,0,0,0,6.309056666701273,,0.47390035583970397,0.6595868340227753,0,396790828256e3958313475c1616fc0957b737614282ceb7df096a5e80e9fb3c,415be8607030353bee99681a2d925ecd363c91fc1d02517964908fd4fd035861
